nickname,review,star,product_name,price,discount_pct,review_count,view_count,sales_count
바둑살인마,옷이 크게 나온것같고 가격대비 좋습니다. 거칠게 입어버릴려고 샀는데 만족합니다.,5.0,라운지 스웨트 팬츠 2팩,41790,34,56424,20000,600
바둑살인마,사이즈가 좀 크게 나온것같아요. 가격 대비 옷 품질은 좋아요.,5.0,라운지 스웨트 팬츠 2팩,41790,34,56424,20000,600
rillyy,스트레이트 핏이고 편하게 입기 좋을 것 같습니다,5.0,라운지 스웨트 팬츠 2팩,41790,34,56424,20000,600
마주니,"작년 네이비 구매후 
가성비 좋아서 블랙구매.
탄탄하고 막입어도 부담없고 베리굿이요",5.0,라운지 스웨트 팬츠 2팩,41790,34,56424,20000,600
짱쥐,"제키에 기장 라지가 딱입니다
도툼하고 적당한추위에도 잘입을거같아요",5.0,라운지 스웨트 팬츠 2팩,41790,34,56424,20000,600
주제넘는크림체크,생각보다 너무이쁘네요 생각보다 너무이쁘네요,5.0,라운지 스웨트 팬츠 2팩,41790,34,56424,20000,600
감영수,사이즈랑 통 기장 잘맞습니다 잘입을게요 좋아요,5.0,라운지 스웨트 팬츠 2팩,41790,34,56424,20000,600
높은은색프릴,재질이 좋아요. 통이 넓은 와이드 스타일이 아니라 샀구요 지금입기 딱 좋아요,5.0,라운지 스웨트 팬츠 2팩,41790,34,56424,20000,600
나만입고살거야,휘뚜루마뚜루 기본템이라 샀습니다 재질 핏 모두 괜찮네요,5.0,라운지 스웨트 팬츠 2팩,41790,34,56424,20000,600
starda9,아주 편하고 좋습니다 원하던 스타일입니다 자주 입을 것 같아요,5.0,라운지 스웨트 팬츠 2팩,41790,34,56424,20000,600
ASIANA,길이도 좋고 재질도 부드럽고 잘산거 같아요 다음에는 검정색 사려고요 ㅎㅎ,5.0,라운지 스웨트 팬츠 2팩,41790,34,56424,20000,600
ASIANA,와이프 바지 사달라고해서 시켰는데 사이즈도 좋고 재질도 부드러워서 좋습니다 ㅎㅎ,5.0,라운지 스웨트 팬츠 2팩,41790,34,56424,20000,600
지훈이라하지,편하고 어느장소에나 입고다니기 괜찮습니다. 다른색상도 구매예정입니다,5.0,라운지 스웨트 팬츠 2팩,41790,34,56424,20000,600
박박지성,무난한 트레이닝볻이에요 살짝 컸는데 건조기 돌리니까 줄어서 딱 좋아요,4.0,라운지 스웨트 팬츠 2팩,41790,34,56424,20000,600
없음22,길이랑 두께도 적당하고 집에서 입기 좋을것 같아요,5.0,라운지 스웨트 팬츠 2팩,41790,34,56424,20000,600
긍정적인누구씨,"그레이 구매하고 세일하길래 블랙도 구매합니다.
175cm 67kg 보기좋게 잘 맞아요.",5.0,라운지 스웨트 팬츠 2팩,41790,34,56424,20000,600
jay77,매번 구매합니다 너무 좋네요 추천이오 야러붘요,5.0,라운지 스웨트 팬츠 2팩,41790,34,56424,20000,600
jay77,매번 구매하넹요 4번째 구매 입니다 추천해요 여러분,5.0,라운지 스웨트 팬츠 2팩,41790,34,56424,20000,600
YTyang,하나 이상 꼭 가지고 있어야 할 아이템 너무 편하고 핏도 예쁨,5.0,라운지 스웨트 팬츠 2팩,41790,34,56424,20000,600
호호호875,원단도 두껍고 사이즈도 딱 좋아요! 기모버전도 만들어 주세요!,5.0,라운지 스웨트 팬츠 2팩,41790,34,56424,20000,600
맹빙빙,너무크지안을까 싶었는데 넉넉한정도로 좋습니다,5.0,라운지 스웨트 팬츠 2팩,41790,34,56424,20000,600
개운한명동하객룩,할인받아서 2만원대에 구입했는데 가성비 좋습니다. 바지도 편해서 매우 만족합니다.,5.0,라운지 스웨트 팬츠 2팩,41790,34,56424,20000,600
그룹이스,무난하게 입기 좋습니다 너무 좋아요 재재구매 제품이에요,5.0,라운지 스웨트 팬츠 2팩,41790,34,56424,20000,600
나만큼만해,스탠다드한 핏이라 개인적으료 더 좋네요 재질도 지금 입기 딱 좋아요,5.0,라운지 스웨트 팬츠 2팩,41790,34,56424,20000,600
은디군,원단도 좋구 핏도 좋습니다 아주맘에 쏙들어요 자주 입을거 같ㅇ여,5.0,라운지 스웨트 팬츠 2팩,41790,34,56424,20000,600
둔감한초록심플,만족합니다. 잘입겠습니다 몇개 더 구매해야겠어요,5.0,라운지 스웨트 팬츠 2팩,41790,34,56424,20000,600
000119,편하고 재질도 좋고 두께도 적당허니 막입기 좋아요,5.0,라운지 스웨트 팬츠 2팩,41790,34,56424,20000,600
시원한라임리젠트,블랙사고 너무 좋아서 그레이 추가구매했어요. 적당한 통에 와이드핏이 아니라 더 맘에듭니다.,5.0,라운지 스웨트 팬츠 2팩,41790,34,56424,20000,600
멋진룩,요즘 처럼 쌀쌀한 날씨엗ㆍㄷ 먼이 똑톡해서 데일리로 입기 좋아요.,5.0,라운지 스웨트 팬츠 2팩,41790,34,56424,20000,600
하발새,"좋아요 이런 지금 입기 딱 좋습니다.
또 살게요.^^
굳입니다",5.0,라운지 스웨트 팬츠 2팩,41790,34,56424,20000,600
쾌활한연두색셔링,"165cm, 70kg 중1 아들 사줬는데 잘 맞아요. 가격도 괜찮고 세탁기, 건조기 돌렸는데 틀어짐이나 보풀도 없고 가격대비 만족스럽습니다. 재구매 의사 있어요 ^^",5.0,라운지 스웨트 팬츠 2팩,41790,34,56424,20000,600
마늘쫑이다,"배송 바르고 생각했던데로 아주 잘 맞아서 만족합니다
길이감도 좋고 두께감 핏 좋아요 잘입겠습니다~",5.0,라운지 스웨트 팬츠 2팩,41790,34,56424,20000,600
마늘쫑이다,"적당한 두께감으로 쌀쌀해지는 날씨에 입기 좋아요
사이즈도 딱 맞게 입어져서 자주 입을듯합니다^",5.0,라운지 스웨트 팬츠 2팩,41790,34,56424,20000,600
은은한명동골프공,"이상하게 블랙보다 그레이가 같은 사이즌데 더 크네요
반품하기 귀찮아서 걍 수선해서 조금 잘라서 입으려합니다 ㅠ",3.0,라운지 스웨트 팬츠 2팩,41790,34,56424,20000,600
완재오,172에 64키로 m사이즈 딱맞네요 이뻐요 감사합니다,5.0,라운지 스웨트 팬츠 2팩,41790,34,56424,20000,600
찬구니,기장이 짧지 않아서 발 밑에 뚝 떨어져서 다행~ 핏이 나쁘지 않아요 무난무난,5.0,라운지 스웨트 팬츠 2팩,41790,34,56424,20000,600
찬구니,사이즈 적당하고 기장도 짧지 않아서 맘에 듭니다.,5.0,라운지 스웨트 팬츠 2팩,41790,34,56424,20000,600
포치타귀여워,"가격대비 아뮤 생각없이 입을만 합니다
소모품 용도로 입음 될듯",5.0,라운지 스웨트 팬츠 2팩,41790,34,56424,20000,600
mimilove,바지핏 너무 이쁘고 편하고 이뻐요 사이즈도 딱 좋아요,5.0,라운지 스웨트 팬츠 2팩,41790,34,56424,20000,600
감만님,너무 편하고 좋아요. 색감도 좋고 지금 입기 딱 좋아용,5.0,라운지 스웨트 팬츠 2팩,41790,34,56424,20000,600
뉴비_77de539a,"다른 색상보다 길이가 짧게 나왔고 바지 통, 두께 모두 적당해서 편하게 입을 수 있음 토요일에 주문했는데 일요일에 배송됨 무탠다드는 배송이 빨라서 좋음",5.0,라운지 스웨트 팬츠 2팩,41790,34,56424,20000,600
뉴비_77de539a,"마감 깔끔하고 바지 통, 두께 모두 적당해서 편하게 입을 수 있음 토요일에 주문했는데 일요일에 배송됨 무탠다드는 배송이 빨라서 좋음",5.0,라운지 스웨트 팬츠 2팩,41790,34,56424,20000,600
외로운인천머슬핏,기장이 짧은거 같아요. 면은 좋은데 아쉽네요ㅜㅜ 기장길게,5.0,라운지 스웨트 팬츠 2팩,41790,34,56424,20000,600
갱얼쥐견주,"정가내고는 못 사겠어요 무신사 세일 할 때 사야 제 맛,,
29-30 m 사이즈 굿",5.0,라운지 스웨트 팬츠 2팩,41790,34,56424,20000,600
caris카리스,"여러장 구매해서 입고있어요~
아이가 편하다고 이것만입어요~ㅎ",5.0,라운지 스웨트 팬츠 2팩,41790,34,56424,20000,600
감동받은대만웜톤,"지금까지 사본 일상복 중에서 가장 스타일 좋고 편했음.
옷 마춰입기도 편하고 값도 합리적~ 재구매 신청했음.",5.0,라운지 스웨트 팬츠 2팩,41790,34,56424,20000,600
블랙만둥번개,무탠다드는 정말 가성비가 좋은거같아여 최고입니다,5.0,라운지 스웨트 팬츠 2팩,41790,34,56424,20000,600
달콤한호이안고글,작년에 구매하고 너무 편안하고 마음에 들어서 재구매합니다.,5.0,라운지 스웨트 팬츠 2팩,41790,34,56424,20000,600
핫한광화문개강룩,"사이즈나 두께감 모두 만족 합니다
기장이 조금 긴거 같습니다",5.0,라운지 스웨트 팬츠 2팩,41790,34,56424,20000,600
meister361,배송 빠르고 사이즈 딱 맞고 색상 디자인 화면과 같아요 저렴한게 좋은 상품 구입했네요,5.0,라운지 스웨트 팬츠 2팩,41790,34,56424,20000,600
actlsj,국밥바지에여 너무 만족합니다. 무탠다드는 믿을만 해요. 다음에 다른 색상으로 살거에여,5.0,라운지 스웨트 팬츠 2팩,41790,34,56424,20000,600
